Tweet,Keyword,tweet_lowercase,tweet_without_stopwords
"IED hurled towards Minister Thapa’s vehicle in Dhankuta, no casualties #KathmanduPost ",casualties,"ied hurled towards minister thapa’s vehicle in dhankuta, no casualties #kathmandupost ","ied hurled towards minister thapa ’ vehicle dhankuta , casualties # kathmandupost"
Heavy rains inundate dozens of settlements in Kathmandu Valley Police say no human casualties have been reported so far but the flooding caused damage to property.  ,casualties,heavy rains inundate dozens of settlements in kathmandu valley police say no human casualties have been reported so far but the flooding caused damage to property.  ,heavy rains inundate dozens settlements kathmandu valley police say human casualties reported far flooding caused damage property .
"Landslide sweeps away 19 houses in Lamjung local unit No human casualties were reported in the disaster, as the villagers were moved to a safer location the previous night.  — by Aash Gurung",casualties,"landslide sweeps away 19 houses in lamjung local unit no human casualties were reported in the disaster, as the villagers were moved to a safer location the previous night.  — by aash gurung","landslide sweeps away 19 houses lamjung local unit human casualties reported disaster , villagers moved safer location previous night . — aash gurung"
"India, China troops clash at Himalayan border, 'casualties on both sides' Indian army says 20 soldiers killed in first deaths in decades in border skirmish between the nuclear-armed Asian giants. ",casualties,"india, china troops clash at himalayan border, 'casualties on both sides' indian army says 20 soldiers killed in first deaths in decades in border skirmish between the nuclear-armed asian giants. ","india , china troops clash himalayan border , 'casualties sides ' indian army says 20 soldiers killed first deaths decades border skirmish nuclear-armed asian giants ."
No casualties were reported but as many as 17 families are said to be displaced ,casualties,no casualties were reported but as many as 17 families are said to be displaced ,casualties reported many 17 families said displaced
Two mild earthquakes recorded No human casualties have been reported so far. ,casualties,two mild earthquakes recorded no human casualties have been reported so far. ,two mild earthquakes recorded human casualties reported far .
"Taliban forces and fighters loyal to local leader Ahmad Massoud, fought in Afghanistan's Panjshir Valley on Thursday, with each side saying it had inflicted heavy casualties in recent days of combat in the last province resisting Taliban rule. ",casualties,"taliban forces and fighters loyal to local leader ahmad massoud, fought in afghanistan's panjshir valley on thursday, with each side saying it had inflicted heavy casualties in recent days of combat in the last province resisting taliban rule. ","taliban forces fighters loyal local leader ahmad massoud , fought afghanistan 's panjshir valley thursday , side saying inflicted heavy casualties recent days combat last province resisting taliban rule ."
"Vehicle hits people near London mosque, causing several casualties #KathmanduPost  ",casualties,"vehicle hits people near london mosque, causing several casualties #kathmandupost  ","vehicle hits people near london mosque , causing several casualties # kathmandupost"
"After CA, constitutional bodies now all set to become new casualties | Editor's Pick |  ",casualties,"after ca, constitutional bodies now all set to become new casualties | editor's pick |  ","ca , constitutional bodies set become new casualties | editor 's pick |"
"Landslide hits industrial park in S China, casualties likely ",casualties,"landslide hits industrial park in s china, casualties likely ","landslide hits industrial park china , casualties likely"
Two mild earthquakes recorded in Kavre and Achham No human casualties have been reported so far. ,casualties,two mild earthquakes recorded in kavre and achham no human casualties have been reported so far. ,two mild earthquakes recorded kavre achham human casualties reported far .
At least 17 dead in deadliest day of anti-government protests in Peru The latest casualties raised the death toll from anti-government clashes to 39 since the protests began in early December. ,casualties,at least 17 dead in deadliest day of anti-government protests in peru the latest casualties raised the death toll from anti-government clashes to 39 since the protests began in early december. ,least 17 dead deadliest day anti-government protests peru latest casualties raised death toll anti-government clashes 39 since protests began early december .
President saddened over bus accident casualties  ,casualties,president saddened over bus accident casualties  ,president saddened bus accident casualties
"Strong magnitude 7 quake strikes eastern Russia, no casualties  ",casualties,"strong magnitude 7 quake strikes eastern russia, no casualties  ","strong magnitude 7 quake strikes eastern russia , casualties"
Blast outside Kabul’s military airport causes multiple casualties Local residents said a loud explosion was heard before 8 am in the vicinity of the military side of the heavily fortified airport. ,casualties,blast outside kabul’s military airport causes multiple casualties local residents said a loud explosion was heard before 8 am in the vicinity of the military side of the heavily fortified airport. ,blast outside kabul ’ military airport causes multiple casualties local residents said loud explosion heard 8 vicinity military side heavily fortified airport .
"According to the US Labor Department, approximately 300 Nepalis have filed compensation claims for deaths or injuries in the US war zones. However, experts believe the true number of Nepali casualties is far higher.  — by @pitaarji &amp; @janakrasa",casualties,"according to the us labor department, approximately 300 nepalis have filed compensation claims for deaths or injuries in the us war zones. however, experts believe the true number of nepali casualties is far higher.  — by @pitaarji &amp; @janakrasa","according us labor department , approximately 300 nepalis filed compensation claims deaths injuries us war zones . however , experts believe true number nepali casualties far higher . — @ pitaarji & amp ; @ janakrasa"
Earthquake measuring 6.8-magnitude strikes Philippines on Saturday morning: USGS No immediate reports of destruction or casualties,casualties,earthquake measuring 6.8-magnitude strikes philippines on saturday morning: usgs no immediate reports of destruction or casualties,earthquake measuring 6.8-magnitude strikes philippines saturday morning : usgs immediate reports destruction casualties
"Nepalis in Lebanon shaken after deadly blast rocks Beirut No casualties reported among Nepalis, honorary consul based in the city says.  — by @CK_Mandal",casualties,"nepalis in lebanon shaken after deadly blast rocks beirut no casualties reported among nepalis, honorary consul based in the city says.  — by @ck_mandal","nepalis lebanon shaken deadly blast rocks beirut casualties reported among nepalis , honorary consul based city says . — @ ck_mandal"
OPINION: Incidents &amp; casualties of lightning strikes are increasing in poor countries; many point to climate change ,casualties,opinion: incidents &amp; casualties of lightning strikes are increasing in poor countries; many point to climate change ,opinion : incidents & amp ; casualties lightning strikes increasing poor countries ; many point climate change
[EDITORIAL] Coming to Kathmandu: Training people on ways to be safe in case of earthquake can help reduce casualties ,casualties,[editorial] coming to kathmandu: training people on ways to be safe in case of earthquake can help reduce casualties ,[ editorial ] coming kathmandu : training people ways safe case earthquake help reduce casualties
Many casualties in New Jersey train crash (In pictures)  ,casualties,many casualties in new jersey train crash (in pictures)  ,many casualties new jersey train crash ( pictures )
"Signs of fighting after Russia says unilateral truce comes into force in Ukraine Rockets slammed into a residential building in the Ukrainian city of Kramatorsk close to the eastern frontline, damaging 14 homes but with no casualties, the mayor said. ",casualties,"signs of fighting after russia says unilateral truce comes into force in ukraine rockets slammed into a residential building in the ukrainian city of kramatorsk close to the eastern frontline, damaging 14 homes but with no casualties, the mayor said. ","signs fighting russia says unilateral truce comes force ukraine rockets slammed residential building ukrainian city kramatorsk close eastern frontline , damaging 14 homes casualties , mayor said ."
