,Date,User,Tweet,Keyword
0,2019-03-18 06:14:50+00:00,kathmandupost,"Flash floods and landslides triggered by torrential rain in Indonesia’s easternmost province of Papua have killed at least 58 people, injured dozens and displaced more than 4,000, authorities said on Sunday.

https://t.co/lV6E7XQzCJ",flood
1,2021-07-15 16:25:52+00:00,kathmandupost,"At least 44 dead in floods in western Europe, dozens missing

https://t.co/KtVllNZyCZ",flood
2,2021-10-19 10:39:55+00:00,kathmandupost,"Floods from Seti River enter Dhungad settlement in Baitadi

At least 60 people are waiting to be rescued from the flood-affected area.

https://t.co/tFoQwGkAE3 — by Tripti Shahi",flood
3,2021-08-26 07:55:00+00:00,kathmandupost,"Disaster preparedness sorely lacking in Karnali Province

Floods and landslides take lives and ravage properties in the province every year. Many people say the severity can be mitigated by prioritising preparedness.
https://t.co/YF9WLjLDZJ — by Chandani Kathayat",flood
4,2020-07-11 07:16:00+00:00,kathmandupost,"Hydropower plants temporarily halted the release of nearly 500 MW of electricity to the grid on Friday to prevent flood damage to the infrastructure, resulting in power cuts in some parts of the country

https://t.co/01XlXs7I7V",flood
5,2019-07-23 08:15:00+00:00,kathmandupost,The Ministry of Health and Population is planning to launch a measles vaccination drive for the people displaced by recent floods in several Tarai districts. https://t.co/KRx6T8iLty — by @arjunpoudeltkp,flood
6,2021-06-21 18:45:00+00:00,kathmandupost,"Swollen Mahakali inundates settlements in Kanchanpur

Floods have displaced more than 35 families in the district and damaged a 100-metre road section and an under-construction bridge.

https://t.co/ocViwGLxyM — by Bhawani Bhatta",flood
7,2022-09-12 12:00:30+00:00,kathmandupost,"Nepal to provide relief materials worth Rs 20 million to flood-hit Pakistan

Pakistan has been severely affected by floods which have killed nearly 1,400 people and displaced more than a million this monsoon.

https://t.co/IdAtin4w59",flood
8,2020-09-23 17:45:00+00:00,kathmandupost,"972 places in Gandaki Province at risk of monsoon-induced disasters

The study included those places that the administration offices of the respective districts identified as flood/landslide-prone areas.
https://t.co/ZTObJMzmNy — by Pratiksha Kafle",flood
9,2021-06-11 01:42:00+00:00,kathmandupost,"EDITORIAL: No more helicopter tours

Hundreds of Nepalis die in floods every year, and we need to do things differently this year.

https://t.co/UYsLxxfyzN",flood
10,2021-06-18 04:25:00+00:00,kathmandupost,"Melamchi project headworks buried in mud, extent of damage unknown

Officials say the main tunnel was untouched, but other temporary structures have been swept by the floods, which could affect the water supply schedule in Kathmandu Valley. https://t.co/ErWBElyPj4 — by @CK_Mandal",flood
11,2022-09-15 02:35:30+00:00,kathmandupost,"OPINION: Climate inaction and policy failures

The floods that ravaged Pakistan are a consequence of unanswered global wakeup calls.

https://t.co/S4fBadERM7 — by @madhukaru",flood
12,2020-09-26 06:45:00+00:00,kathmandupost,"Flood victims in Surkhet await resettlement for past six years

Only a few families have received half the grant announced by the provincial government while the rest have received none. https://t.co/8YUS6Xl7pm — by Chandani Kathayat",flood
13,2020-08-20 03:45:00+00:00,kathmandupost,"At least 14 dead, 16 missing in floods and landslides in Sudurpaschim and Karnali

Achham district hit hardest after floodwaters entered settlements killing six people and sweeping away 11 others whose status remain unknown.
https://t.co/wyXz0NVlzn — by @menukadhungana2",flood
14,2018-08-15 08:25:00+00:00,kathmandupost,"Flood wreaks havoc in Nalgad, Jajarkot-- 4 houses, 5 shops, 4 mills, 60 water mills, two truss bridge and arable land swept away

https://t.co/KUdRE6oePb",flood
15,2020-09-08 18:50:00+00:00,kathmandupost,"A new inventory of glacial lakes in Nepal, TAR China, and India, has not only found 3,624 glacial lakes located in the three basins but also identified 47 glacial lakes that could potentially cause glacial lake outburst floods. https://t.co/JmRTbOtcPG — by @CK_Mandal",flood
16,2022-01-30 23:15:00+00:00,kathmandupost,"Continuous snowfall since December disrupts supply chains in Saipal

First the November floods affected food supply, then came snowfall. Now villagers face a looming shortage of essentials.

https://t.co/1oKehnmhuS — by @bajhangimitra",flood
17,2019-06-10 15:45:00+00:00,kathmandupost,"Hundreds of people had been displaced in repeated floods on the river since 1964. Three generations of the displaced people have lived on public land on the eastern bank of the river.  
https://t.co/hI3NCa8bXV — by Pradeep Menyangbo",flood
18,2018-07-15 13:15:00+00:00,kathmandupost,"Along with the rise in water and flow, 29 of the 52 flood gates at Koshi barrage have been opened, while a red light has been put on indicating a sign of danger

#KathmanduPost

https://t.co/NNohrWZK86",flood
19,2021-07-09 21:45:00+00:00,kathmandupost,"Continuous floods, landslides obstruct Manaslu foot trail

Risk of food shortage has increased as villages remain cut off from the rest of the district for the past three weeks. 

https://t.co/ECwn5oHRgS — by Hariram Upreti",flood
